gid,name,plz,stadt,strasse,hausnr,hnr_zusatz,familienze,staedtisch,gc_xwert,gc_ywert,gid_2,object_id,flaeche,id_wahllok,wahlbez_nr,landtagswa
136,städt. KiTa Jakobus,33604.000000000000000,Bielefeld,Jakobusstraße,5.000000000000000,a,x,x,469221.777029999997467,5762653.652359999716282,72,"003.3",236100.578049999981886,23.000000000000000,"3","92"
91,Kath. KiTa Liebfrauen,33604.000000000000000,Bielefeld,Theodor-Hürth-Straße,2.000000000000000,,,,469304.902029999997467,5762616.076360000297427,72,"003.3",236100.578049999981886,23.000000000000000,"3","92"
11,AWO KiTa und Familienzentrum Lilienthalstraße,33689.000000000000000,Bielefeld,Lilienthalstraße,6.000000000000000,a,x,,471406.637020000023767,5756234.139370000921190,3,"030.2",360771.238698999979533,5.000000000000000,"30","93"
14,AWO Kita und Familienzentrum Moenkamp,33729.000000000000000,Bielefeld,Moenkamp,19.000000000000000,,x,,474167.168020000040997,5767412.317350000143051,12,"023.3",789727.315385999972932,2.000000000000000,"23","93"
3,AWO Kita/Familienzentrum Kinderhaus Senne,33659.000000000000000,Bielefeld,Offenburger Straße,7.000000000000000,,x,,469003.387029999983497,5756442.149369999766350,4,"032.5",1328934.344609000021592,7.000000000000000,"32","93"
165,Ev. Christus Kindergarten,33659.000000000000000,Bielefeld,Hermann-Windel-Straße,2.000000000000000,,x,,467847.424029999994673,5756091.919369999319315,8,"032.6",3077520.525615000165999,7.000000000000000,"32","93"
10,AWO KiTa Kleine Kampe,33607.000000000000000,Bielefeld,Auf dem Langen Kampe,73.000000000000000,a,x,,470464.444030000013299,5764266.828360000625253,84,"005.5",222461.974449000001187,57.000000000000000,"5","92"
146,städt. KiTa Oberer Esch,33607.000000000000000,Bielefeld,Auf dem Oberen Esch,4.000000000000000,,x,x,470219.292030000011437,5763934.850359998643398,84,"005.5",222461.974449000001187,57.000000000000000,"5","92"
97,Kath. KiTa und Familienzentrum St. Meinolf,33607.000000000000000,Bielefeld,Am Großen Holz,46.000000000000000,a,x,,470547.969029999978375,5764355.823359999805689,84,"005.5",222461.974449000001187,57.000000000000000,"5","92"
159,städt. KiTa Windflöte,33659.000000000000000,Bielefeld,Nelkenweg,62.000000000000000,,,x,465392.261029999994207,5755107.071370000019670,5,"033.4",4073949.201181000098586,49.000000000000000,"33","93"
25,Kindertageseinrichtung Regenbogen,33699.000000000000000,Bielefeld,Wietkamp,7.000000000000000,,,,474603.389020000002347,5759838.449359999969602,10,"029.4",856517.560297999996692,46.000000000000000,"29","93"
216,Stepke-KiTa Zauberhaft,33699.000000000000000,Bielefeld,Hamelner Str.,12.000000000000000,a,,,,,10,"029.4",856517.560297999996692,46.000000000000000,"29","93"
59,Evangelische Kindertageseinrichtung Milse,33729.000000000000000,Bielefeld,Elverdisser Straße,74.000000000000000,,,,474146.227019999991171,5767805.690349999815226,11,"023.2",1957013.226893000071868,43.000000000000000,"23","93"
