gid,name,plz,stadt,strasse,hausnr,hnr_zusatz,familienze,staedtisch,gc_xwert,gc_ywert,gid_2,wahlbez_nr,wahlbezirk,landtagswa,flaeche
26,Die Glühwürmchen e. V.,33649.000000000000000,Bielefeld,Grabenkamp,35.000000000000000,,,,464402.138029999972787,5759465.579359998926520,1,"15",Brackwede-Nord,"93",3608414.370937829837203
126,städt. KiTa Brock,33649.000000000000000,Bielefeld,Mülheimer Straße,20.000000000000000,,,x,464797.800029999983963,5759520.813360000029206,1,"15",Brackwede-Nord,"93",3608414.370937829837203
132,städt. KiTa Hagenbrock,33647.000000000000000,Bielefeld,Westfalenstraße,37.000000000000000,,,x,465882.302030000020750,5760139.261359999887645,1,"15",Brackwede-Nord,"93",3608414.370937829837203
141,städt. KiTa Kupferhammer,33649.000000000000000,Bielefeld,Von-Möller-Straße,54.000000000000000,b,,x,464621.456030000001192,5759493.268360000103712,1,"15",Brackwede-Nord,"93",3608414.370937829837203
194,KiTa Normannenstraße,33647.000000000000000,Bielefeld,Normannenstraße,20.000000000000000,,,,466263.182030000025406,5759984.742359999567270,1,"15",Brackwede-Nord,"93",3608414.370937829837203
191,Kita am Möllerstift,33647.000000000000000,Bielefeld,Am Möllerstift,22.000000000000000,,x,,465762.916030000022147,5760003.964359999634326,1,"15",Brackwede-Nord,"93",3608414.370937829837203
164,Ev. KiTa Arche Noah,33647.000000000000000,Bielefeld,Schulstraße,71.000000000000000,,x,,466069.826029999996535,5760759.861360000446439,1,"15",Brackwede-Nord,"93",3608414.370937829837203
175,Ev. KiTa Louise-Scheppler,33647.000000000000000,Bielefeld,Wikingerstraße,15.000000000000000,b,x,,466370.495029999932740,5759900.022359999828041,1,"15",Brackwede-Nord,"93",3608414.370937829837203
37,DRK KiTa und Familienzentrum Weltweit,33602.000000000000000,Bielefeld,Waldemarstraße,4.000000000000000,,x,,468360.998030000017025,5764439.938360000029206,2,"1",Innenstadt,"92",1579401.736170950112864
193,KiTa Münzstraße,33602.000000000000000,Bielefeld,Münzstraße,3.000000000000000,,,,468258.127029999974184,5763483.945360000245273,2,"1",Innenstadt,"92",1579401.736170950112864
101,Familienzentrum KiTa Kindermann-Stiftung,33602.000000000000000,Bielefeld,Waldhof,12.000000000000000,,x,x,467753.967029999999795,5763224.967360000126064,2,"1",Innenstadt,"92",1579401.736170950112864
21,AWO KiTa und Familienzentrum im Elfriede-Eilers-Zentrum,33605.000000000000000,Bielefeld,Detmolder Straße,280.000000000000000,,x,,470176.427030000020750,5761428.871360000222921,3,"28",Sieker-Ost,"93",6470920.207273200154305
52,Kindergarten Hellenkamp,33604.000000000000000,Bielefeld,Hellenkamp,3.000000000000000,,,,469746.798030000005383,5761048.722360000014305,3,"28",Sieker-Ost,"93",6470920.207273200154305
87,"Integrative KiTa ""Die Waldmäuse e.V.""",33605.000000000000000,Bielefeld,Am Kämpchen,5.000000000000000,,,,469523.512029999983497,5761302.233359999954700,3,"28",Sieker-Ost,"93",6470920.207273200154305
80,Familienzentrum Kinderhaus Entdeckerwelt,33605.000000000000000,Bielefeld,Otto-Brenner-Straße,171.000000000000000,,x,,470337.238030000007711,5761975.723360000178218,3,"28",Sieker-Ost,"93",6470920.207273200154305
