X,Y,gid,name,plz,stadt,strasse,hausnr,hnr_zusatz,familienze,staedtisch,gc_xwert,gc_ywert,gid_2,statistische_raumeinheit_name,statist_raumeinheit_id,maennlich,weiblich,null_bis_unter_18,proz_0_bis_unter_18,gleich_18_bis_unter_65,proz_18_bis_unter_65,gleich_65_u_aelter,proz_65_u_aelter,durchschnittsalter,einw_ges,deutsch_ohne_migrationshintergrund,deutsch_mit_migrationshintergrund,auslaendisch,proz_hhmitkindern_an_allenhh,abs_bev_entwicklung_5jahre,proz_bev_entwicklung_5jahre
467753.96703,5763224.96736,101,Familienzentrum KiTa Kindermann-Stiftung,33602.000000000000000,Bielefeld,Waldhof,12.000000000000000,,x,x,467753.967029999999795,5763224.967360000126064,2,Stat. Raumeinheit 002,2,697,748,129,"8,9",1100,"76,1",216,"14,9","41,3",1445,953,248,244,"8,4",-35,"-2,4"
468587.37603,5763801.08836,106,KiTa Hoppetosse e.V.,33602.000000000000000,Bielefeld,Am Hallenbad,16.000000000000000,,,,468587.376029999984894,5763801.088360000401735,5,Stat. Raumeinheit 005,5,1008,1003,207,"10,3",1504,"74,8",300,"14,9","40,5",2011,989,495,527,"9,9",-36,"-1,8"
468360.99803,5764439.93836,37,DRK KiTa und Familienzentrum Weltweit,33602.000000000000000,Bielefeld,Waldemarstraße,4.000000000000000,,x,,468360.998030000017025,5764439.938360000029206,6,Stat. Raumeinheit 006,6,1209,1211,294,"12,1",1832,"75,7",294,"12,1","37,9",2420,918,625,877,"12,7",-135,"-5,3"
468517.64303,5764714.72836,95,St. Joseph,33602.000000000000000,Bielefeld,Josefstraße,15.000000000000000,,,,468517.643029999977443,5764714.728360000066459,6,Stat. Raumeinheit 006,6,1209,1211,294,"12,1",1832,"75,7",294,"12,1","37,9",2420,918,625,877,"12,7",-135,"-5,3"
468258.12703,5763483.94536,193,KiTa Münzstraße,33602.000000000000000,Bielefeld,Münzstraße,3.000000000000000,,,,468258.127029999974184,5763483.945360000245273,7,Stat. Raumeinheit 007,7,683,771,135,"9,3",1046,"71,9",273,"18,8","43,6",1454,1005,223,226,"10,3",-62,"-4,1"
468651.34803,5763429.93636,153,städt. KiTa Stadtmitte,33607.000000000000000,Bielefeld,Teutoburger Straße,106.000000000000000,,,x,468651.348029999993742,5763429.936359999701381,8,Stat. Raumeinheit 008,8,670,697,180,"13,2",1006,"73,6",181,"13,2","40,3",1367,632,330,405,"13,7",-27,"-1,9"
468539.82303,5762899.87836,115,Kita Nestfalken,33604.000000000000000,Bielefeld,Bielsteinstraße,7.000000000000000,,,,468539.823030000028666,5762899.878360000438988,9,Stat. Raumeinheit 009,9,676,686,178,"13,1",990,"72,7",194,"14,2","39,9",1362,888,185,289,"13,1",-94,"-6,5"
468281.234772638,5762617.32144451,60,Ev. KiTa Neustadt,33602.000000000000000,Bielefeld,August-Bebel-Straße,217.000000000000000,a,,,468241.414029999985360,5762648.307359999977052,10,Stat. Raumeinheit 010,10,945,1074,205,"10,2",1488,"73,7",326,"16,1","41,2",2019,1444,300,275,"11,1",97,"5"
466985.52303,5763814.21836,62,Evangelische Kindertageseinrichtung Sonnenstrahl,33615.000000000000000,Bielefeld,Fehrbelliner Straße,7.000000000000000,a,,,466985.523029999982100,5763814.218359999358654,12,Stat. Raumeinheit 012,12,1040,1149,282,"12,9",1514,"69,2",393,"18","43,1",2189,1735,283,171,"14,5",-31,"-1,4"
466420.28303,5764280.75036,180,"KiTa ""EffHa""",33615.000000000000000,Bielefeld,Wertherstraße,116.000000000000000,,,,466420.283029999991413,5764280.750359999947250,12,Stat. Raumeinheit 012,12,1040,1149,282,"12,9",1514,"69,2",393,"18","43,1",2189,1735,283,171,"14,5",-31,"-1,4"
467289.59703,5763851.59936,94,Kath. KiTa St. Franziskus,33615.000000000000000,Bielefeld,Stapenhorststraße,33.000000000000000,,,,467289.597030000062659,5763851.599360000342131,12,Stat. Raumeinheit 012,12,1040,1149,282,"12,9",1514,"69,2",393,"18","43,1",2189,1735,283,171,"14,5",-31,"-1,4"
466657.02003,5763948.84736,197,KiTa Kindermühle,33615.000000000000000,Bielefeld,Wertherstraße,84.000000000000000,,,,466657.020030000014231,5763948.847360000014305,12,Stat. Raumeinheit 012,12,1040,1149,282,"12,9",1514,"69,2",393,"18","43,1",2189,1735,283,171,"14,5",-31,"-1,4"
467434.26403,5763807.36036,177,Kinderladen Laerstraße,33615.000000000000000,Bielefeld,Laerstraße,9.000000000000000,,,,467434.264029999962077,5763807.360360001213849,14,Stat. Raumeinheit 014,14,867,938,208,"11,5",1343,"74,4",254,"14,1","41,5",1805,1423,226,156,"11,6",-51,"-2,7"
467192.30803,5764472.19136,100,Kinderladen Wittekindstraße,33615.000000000000000,Bielefeld,Wittekindstraße,16.000000000000000,,,,467192.308030000014696,5764472.191360000520945,15,Stat. Raumeinheit 015,15,1274,1437,227,"8,4",2042,"75,3",442,"16,3","42,3",2711,1993,390,328,"8,9",-26,"-0,9"
467493.48603,5764467.12136,75,Ev. KiTa Lydia-Kinderhaus,33615.000000000000000,Bielefeld,Schloßhofstraße,4.000000000000000,a,,,467493.486029999970924,5764467.121360000222921,15,Stat. Raumeinheit 015,15,1274,1437,227,"8,4",2042,"75,3",442,"16,3","42,3",2711,1993,390,328,"8,9",-26,"-0,9"
467500.36103,5764535.50636,114,Falkenkita,33615.000000000000000,Bielefeld,Gustav-Adolf-Straße,17.000000000000000,,,,467500.361029999970924,5764535.506359999999404,15,Stat. Raumeinheit 015,15,1274,1437,227,"8,4",2042,"75,3",442,"16,3","42,3",2711,1993,390,328,"8,9",-26,"-0,9"
467731.34003,5765455.43436,113,Die Schatzinseln,33613.000000000000000,Bielefeld,Bünder Straße,25.000000000000000,a,,,467731.340030000021216,5765455.434359999373555,17,Stat. Raumeinheit 017,17,959,979,260,"13,4",1387,"71,6",291,"15","41,2",1938,1146,397,395,"13,3",-8,"-0,4"
467618.59303,5764925.09536,123,städt. KiTa Bökenkampstraße,33613.000000000000000,Bielefeld,Bökenkampstraße,16.000000000000000,,,x,467618.593029999989085,5764925.095359999686480,17,Stat. Raumeinheit 017,17,959,979,260,"13,4",1387,"71,6",291,"15","41,2",1938,1146,397,395,"13,3",-8,"-0,4"
467548.70703,5765222.98836,145,städt. KiTa Nordpark,33613.000000000000000,Bielefeld,Wallenbrücker Straße,29.000000000000000,,x,x,467548.707029999990482,5765222.988359999842942,17,Stat. Raumeinheit 017,17,959,979,260,"13,4",1387,"71,6",291,"15","41,2",1938,1146,397,395,"13,3",-8,"-0,4"
467939.94603,5765393.58536,22,Villa Butterblume,33611.000000000000000,Bielefeld,Sudbrackstraße,43.000000000000000,,,,467939.946029999991879,5765393.585359999909997,18,Stat. Raumeinheit 018,18,1057,1117,228,"10,5",1708,"78,6",238,"10,9","37,9",2174,1205,426,543,"10,2",16,"0,7"
